# 示例数据 - 多变量质量指标 (用于热力图)
# 包含: 温度、压力、速度、质量评分、不良率等

sample_id,temperature,pressure,speed,vibration,quality_score,defect_rate
1, 185.2, 101.3, 1205, 0.45, 98.5, 0.12
2, 186.5, 101.5, 1198, 0.42, 97.8, 0.15
3, 184.8, 101.2, 1210, 0.48, 99.1, 0.08
4, 185.9, 101.4, 1202, 0.44, 98.2, 0.11
5, 186.2, 101.6, 1195, 0.46, 97.5, 0.18
6, 185.5, 101.3, 1208, 0.43, 98.8, 0.10
7, 184.9, 101.1, 1212, 0.47, 99.3, 0.07
8, 186.8, 101.7, 1196, 0.45, 97.2, 0.20
9, 185.1, 101.2, 1204, 0.41, 98.0, 0.14
10, 186.4, 101.5, 1199, 0.49, 97.6, 0.17
11, 185.7, 101.4, 1206, 0.44, 98.4, 0.12
12, 184.6, 101.0, 1215, 0.46, 99.5, 0.06
13, 186.1, 101.6, 1197, 0.42, 97.3, 0.19
14, 185.3, 101.3, 1203, 0.48, 98.1, 0.13
15, 186.7, 101.8, 1194, 0.45, 97.0, 0.22
